"EBI20_S_14.07.2019" "EBI20_S_30.07.2019" "EBI20_S_13.08.2019" "EBI20_S_13.09.2019" "EBI20_S_11.10.2019" "EBI20_S_28.10.2019" "EBI20_S_14.11.2019" "EBI20_S_09.12.2019" "EBI20_S_14.01.2020" "EBI20_S_07.02.2020" "EBI20_S_04.03.2020" "EBI20_S_14.04.2020" "EBI20_S_29.04.2020" "EBI20_S_13.05.2020" "EBI20_S_26.05.2020" "EBI20_S_23.06.2020" "EBI20_S_09.07.2020" "EBI20_S_23.07.2020" "EBI20_S_05.08.2020" "EBI20_S_19.08.2020"
"K00014" 0.663614190118454 0.658136517954974 0.662083580541954 0.677133852631938 0.655183811335102 0.627162009577206 0.667383061320201 0.654046435403411 0.627823086983842 0.649919806511952 0.651489399625318 0.663973962558267 0.664807860124757 0.67318334970242 0.661463824569874 0.673063252445164 0.677416895351906 0.571690509642016 0.676511695301741 0.597941854444219
"K00015" 0.364664468701846 0.399133029254011 0.392038539321892 0.397068265336163 0.401026714554471 0.38977264034556 0.407613816609668 0.401429877823996 0.389835285167783 0.416321074111174 0.415857296788334 0.415229303488563 0.389825643581777 0.393781806131018 0.396676184827313 0.419348033828567 0.400001133542683 0.332312292510035 0.400958070109806 0.368224502882943
"K00016" 0.0813278313640195 0.0904456187270363 0.0904072584783227 0.0879826846980102 0.0864903460167599 0.0880173934155023 0.0885364503597253 0.0952125165673731 0.08779073108371 0.0885641096591307 0.0928746572527443 0.0939413269186402 0.0952247010761214 0.0910667346452781 0.0990385518030827 0.0929720995898108 0.0903095414192929 0.0735351348503383 0.0976269998149047 0.0832454169065176
"K00018" 0.24639087572234 0.249839791457404 0.238307855786828 0.253235777090177 0.24907556662779 0.243947381455482 0.222479584363666 0.226301889800722 0.221724102763475 0.224404113854475 0.209915786832335 0.224323578453681 0.238909833425689 0.247807218592427 0.234745582340251 0.226464111008369 0.238783989702742 0.204801109003542 0.240669453114847 0.216843942339924
"K00019" 0.560230452348348 0.5461324891775 0.539036646761425 0.518550686312588 0.548602626510225 0.514111266510208 0.528775565293578 0.529506711372072 0.534928560329235 0.535223296559283 0.541769322653271 0.550602497005933 0.547949458455989 0.537219923207585 0.536729731094129 0.543820807373168 0.553218245358663 0.451977586429648 0.542665975225511 0.480673158623345
"K00020" 1.02422295795916 1.01033101206441 1.02529456442913 0.979341491707392 1.01882560102188 0.978118319229456 1.02107753256524 1.0399995951749 1.03222962144276 1.0595377564393 1.06159828797864 1.08200622730742 1.04633405698469 1.03304863165731 0.998441301411431 1.08068600664744 1.03249350349828 0.815131238313935 0.997931614790595 0.874151072419541
"K00021" 0.226136287861809 0.22987458393053 0.237449304200743 0.217850609567119 0.257880211056874 0.244546548375263 0.236611525243279 0.218618907943675 0.241208879003031 0.242147475277736 0.236357804447681 0.239606703176863 0.228364120494314 0.237724586659467 0.237139082110059 0.221612418848886 0.261674706623725 0.203570686388706 0.261308349409497 0.222081295063817
"K00023" 0.221067324403921 0.240192559328465 0.225430743113158 0.229023328363079 0.228168650089038 0.212211027668711 0.226100677597181 0.229372420015304 0.231803293780138 0.227035285010278 0.225889212060527 0.231103124664027 0.218427945878766 0.22284322958936 0.222276559254876 0.226705753344573 0.223133568455379 0.205103235024925 0.232515970653098 0.234381507829218
"K00024" 0.741627119123043 0.747101172478611 0.755266933229112 0.739413389790104 0.763452521860135 0.74528205438769 0.761424012797263 0.766820053284029 0.777860062287415 0.753572760908372 0.772993901066047 0.765816961669781 0.780350786981022 0.762983794570044 0.755756789183056 0.76091725606656 0.764495726902371 0.644096786448037 0.761028783323997 0.682198645821608
"K00027" 0.320190790278323 0.352951785016068 0.363529097198526 0.341688842052043 0.368433815938485 0.366977639741742 0.392002037534654 0.384021492047608 0.391821888167579 0.381738912255775 0.409731849046744 0.391655590046047 0.371183110379958 0.371343886876342 0.370448463479014 0.392583064319956 0.371178062959042 0.280532741701398 0.38069750796647 0.303657118458948
"K00029" 1.10243382284236 1.1073034797496 1.097901667109 1.1314313180229 1.114556376015 1.09294910454375 1.09265772599979 1.10225289258105 1.10016417838798 1.12377570426418 1.09180476400853 1.09884704488017 1.07647353289879 1.08939329528831 1.08459574951484 1.0906233692596 1.1023503791973 1.00432316403036 1.08982730919735 1.04215599245576
"K00030" 0.129071720804084 0.143345538639143 0.155445372992974 0.141401600597368 0.168505904354162 0.159935700968224 0.173538605240516 0.184068451213985 0.18597052406474 0.196435958786821 0.193923131834705 0.189355366317891 0.166115383447287 0.153904272587114 0.161428823057924 0.177397390134394 0.166171635011497 0.116741570181706 0.171335741694901 0.126201279790701
"K00031" 1.44365979985546 1.39949360975688 1.3617112811406 1.41566813147477 1.38994367352171 1.37577498191114 1.35322093255112 1.36731546152815 1.32853530003578 1.36023697032506 1.33212886871918 1.35806394220269 1.38552345912706 1.39059609347857 1.38397775962101 1.34832207219128 1.3602811322186 1.22632918204623 1.38436506616683 1.27492322375093
"K00033" 0.578131023759566 0.591031454594928 0.58627463099214 0.594261655179937 0.590018836822648 0.610739053088708 0.583039387294187 0.577165971937353 0.557324072652717 0.560431956698821 0.571432525715885 0.577993653341461 0.576467675312551 0.595866865445234 0.593616987974481 0.582612239021456 0.589456632440051 0.493504254644389 0.586894808972487 0.536634868880681
"K00034" 0.286809764171707 0.294732987154491 0.304787186877154 0.30391458724352 0.303164059828634 0.290595777678479 0.321127311523063 0.329988671685953 0.328869252237587 0.341928017132433 0.331283978735351 0.344056813191132 0.321517738329643 0.311784710212391 0.304518962096179 0.340311035855404 0.318415615937941 0.244889147588309 0.314657368716503 0.263781106879226
"K00035" 0.0510226186694612 0.0416539776331886 0.0442845237536747 0.0420770531526571 0.0446241529546114 0.0407108319330928 0.0439230666128801 0.0438357312367673 0.0423283215696351 0.0428496182227489 0.0452432054172189 0.0478179772486762 0.0493962416843133 0.047934977632458 0.0507112803027087 0.0485472006700647 0.0462771907514021 0.0359983708522959 0.0476196182318119 0.0404208918185024
"K00036" 0.746897759686325 0.76440804201337 0.756910102308522 0.748979910240884 0.759882047913929 0.754656509318519 0.74234885478102 0.737809403401328 0.72499292744657 0.728085027853615 0.716820552389091 0.740247275824063 0.734608801984989 0.75434074793118 0.740990568575186 0.732822938281944 0.732008683100507 0.624043675139946 0.731638810223797 0.653050482708285
