"","...1","EBI20_S_14.07.2019","EBI20_S_30.07.2019","EBI20_S_13.08.2019","EBI20_S_13.09.2019","EBI20_S_11.10.2019","EBI20_S_28.10.2019","EBI20_S_14.11.2019","EBI20_S_09.12.2019","EBI20_S_14.01.2020","EBI20_S_07.02.2020","EBI20_S_04.03.2020","EBI20_S_14.04.2020","EBI20_S_29.04.2020","EBI20_S_13.05.2020","EBI20_S_26.05.2020","EBI20_S_23.06.2020","EBI20_S_09.07.2020","EBI20_S_23.07.2020","EBI20_S_05.08.2020","EBI20_S_19.08.2020"
"110","ED05_S_Wi19_S51_metabat2.385",0.00122493565964121,0.00134349491588687,0.0013203577976912,0.00138381394732959,0.00099152337912541,0.00132671572732386,0.00111065851186582,0.00100160529190256,0,0.00085410971986377,0.00094353674180494,0.00080408286877833,0.00085271726400998,0.00098254630500215,0.00127713004093843,0.00107296133784303,0.00108875517464272,0.00161031190285873,0.00108191476202118,0.00164036684133788
"111","ED05_S_Wi19_S51_metabat2.387",0.0019765205222988,0.00268011508687017,0.00300618601310292,0.00245743107598736,0.00228486773880586,0.00260710749229576,0.00254704931373707,0.00231775324523481,0.00230838515677986,0.0022161610908968,0.0023530668051693,0.00190710438386054,0.0018197799550642,0.00205307873922945,0.00252320580780857,0.00238219881858466,0.00226081435810827,0.00263147933491765,0.00237850479325573,0.0028319769826406
"112","ED05_S_Wi19_S51_metabat2.408",0.00142835862714709,0.00147221617560146,0.00126728632156224,0.00168546917063574,0.00096941160457496,0.00149851364882819,0.00117273941139076,0.00105137001175394,0,0.00081438983162761,0.00090948340292368,0.00078275333049323,0.00084528611682508,0.000994923864105,0.0013032099531215,0.00104680683440617,0.00112528486807438,0.00169434581901376,0.00104680555073328,0.00171603288981993
"113","ED05_S_Wi19_S51_metabat2.425",0.00175580336215048,0.00233324693025464,0.00263101187854442,0.00212554422972925,0.00201327873006699,0.00229139305823287,0.00222747876887273,0.00205772280826533,0.0020313592797815,0.00194349473591711,0.00206885198974814,0.00169034083599828,0.00165538058673325,0.0018282971296935,0.0022495752528985,0.00211956407063367,0.00199608474880721,0.00243208708963656,0.00212934858288289,0.00259671864911273
"114","ED05_S_Wi19_S51_metabat2.437",0.00203147387107969,0.002593802508433,0.00285582046203719,0.00240881715534803,0.00222654057669843,0.00258054265928331,0.00248840981985656,0.00240551987497105,0.0023735861097213,0.0022519255256614,0.00238489377724168,0.00193669850078602,0.00192681997940063,0.00207657564241708,0.0025103210002336,0.00242769870677278,0.00225638152484446,0.00277436040118285,0.00231796932397372,0.00290544742178565
"115","ED05_S_Wi19_S51_metabat2.443",0.001662380420352,0.00218639533779533,0.00244652663585948,0.00201550122736937,0.00188566072793163,0.00218871001319977,0.00210770738070561,0.00192583598885859,0.00190548485057856,0.00180737521490189,0.00194368949632965,0.00159712110117577,0.00153887110946101,0.00171854343487249,0.00213603101222548,0.00200455205030688,0.00189660957744272,0.00230971423065274,0.0019928974157425,0.00242675128018427
"116","ED05_S_Wi19_S51_metabat2.448",0.00160280229963656,0.00207973863241707,0.00226647700992278,0.00194489071952007,0.00176523326901763,0.00208792280994478,0.00198926842088591,0.00184787798096748,0.00178919966680634,0.00170589312503979,0.00184244535423877,0.0015373541666797,0.00150598873771195,0.00166267679768093,0.00206830159936908,0.00190787844376341,0.00180803521180783,0.00216950409958581,0.0018847092213463,0.00225699462135938
"117","ED05_S_Wi19_S51_metabat2.450",0.00109535902465331,0.00131472438081782,0.00139936092150357,0.00128387813964149,0.00106943455766218,0.00131174896041603,0.0011956745057016,0.00108281538618519,0,0.00100026861308721,0.00108612208878854,0.00090519607182196,0.00091332132735353,0.00101785603022347,0.00129708198203907,0.00116871515715497,0.00113319458062275,0.0017401074383242,0.00115519080402585,0.00167821419788905
"118","ED05_S_Wi19_S51_metabat2.486",0.00138145620523769,0.00157822571341955,0.00155690848861628,0.00158315534603837,0.00117823483325219,0.00153565159580177,0.0013128647870664,0.00120143794575874,0,0.00105619259112457,0.0011305054949368,0.00097231866287793,0.00100877884150212,0.00114753540114176,0.00148344387439703,0.00126711298773716,0.00127321847359155,0.00185023910016012,0.00126544277260871,0.00187716451526441
"119","ED05_S_Wi19_S51_metabat2.53",0.00465754079581306,0.00534962531183168,0.00289430983863339,0.00602214859261955,0.00290932620498716,0.00427755436504041,0.00251319519201164,0.00227974573453266,0.00216461750280689,0.00187622044545581,0.00185008427938847,0.00295540214166387,0.00285621704296747,0.00434110760644142,0.00502803195967921,0.00234888384909192,0.00367991156480555,0.00477116013028166,0.0025320553735382,0.00442755082877455
"120","ED05_S_Wi19_S51_metabat2.536",0.00116232859082556,0.00091365707393889,0.00076083331533606,0.00109897794823455,0.00054754961178404,0,0,0,0,0,0,0.00049113288300879,0,0.00063903071258848,0.00091841759650719,0.0006933307655105,0.00075333391422373,0.00142200586221055,0.00069846295893525,0.00132543740840703
"121","ED05_S_Wi19_S51_metabat2.541",0,0.00097242681658336,0.0008803231505492,0.00110654132083716,0.0006466628807477,0,0.00076513475246064,0.00069840020915721,0,0.00055428626180504,0,0.00055287256800859,0,0.00069847993931722,0.00094748772114225,0.00075770019716889,0.00078751404641415,0.00134981908348092,0.00074939327479943,0.00131113864089406
"122","ED05_S_Wi19_S51_metabat2.549",0.00200272517904159,0.00259908848571704,0.00262191992518158,0.00231953495199053,0.00212648313881189,0.00243938035864433,0.00229479734101593,0.00211929391840713,0.0020855478359272,0.00199353715160988,0.00206723465963545,0.00184430097766384,0.00183251261469015,0.00202175284204344,0.00240736636651726,0.0021889323531697,0.00215558067459629,0.00259618497701045,0.00217452791023746,0.00267459011324924
"123","ED05_S_Wi19_S51_metabat2.553",0.00233185569271849,0.00298305133554899,0.00314207120417945,0.00270490980930201,0.00256495193908986,0.00286557070536188,0.00269591534847873,0.00247697304726048,0.00245458506563876,0.00234525865568469,0.002458296284826,0.0021387467681533,0.00207527917262071,0.00234979489349528,0.00274223780559034,0.00256697822869078,0.00254017921289232,0.00293181820881444,0.00256868424161395,0.0030978194602473
