"","...1","EOI15_S_2019.08.21","EOI15_S_2019.09.13","EOI15_S_2019.10.23","EOI15_S_2019.11.08","EOI15_S_2019.11.28","EOI15_S_2020.01.20","EOI15_S_2020.02.07","EOI15_S_2020.03.26","EOI15_S_2020.04.23","EOI15_S_2020.05.15","EOI15_S_2020.06.09","EOI15_S_2020.07.02","EOI15_S_2020.07.15","EOI15_S_2020.07.28","EOI15_S_2020.08.14","EOI15_S_2020.09.01","EOI15_S_2020.09.23","EOI15_S_2020.10.09","EOI15_S_2020.10.22","EOI15_S_2020.11.05","EOI15_S_2020.12.02"
"50","EBI20_TS_13_S46_metabat2.73",0.00096096384361121,0.0009309998951493,0.0020951566624489,0.00124327242844196,0.0009207278246763,0.00044270719491551,0.00174917903909092,0.00107612006973538,0.00107312967687764,0.00129452440495639,0.00147759846816567,0.00175707963545838,0.00055636160449478,0.00156814902729647,0.00117409733124646,0.00082831002948704,0.00076594608975212,0.00111341554158451,0.00084437112971496,0.00066140955336009,0
"51","EBI20_TS_13_S46_metabat2.84",0.00121890681504455,0.00113658987169839,0.00131575771342033,0.00108855687913278,0.00119109510712437,0.00094829412415676,0.0013093498168398,0.00101611822366616,0.00095140516089518,0.00145159463941036,0.00106900256474471,0.00133447097516194,0.00087063265323712,0.00132442185150342,0.00124474768093072,0.00104331457276436,0.00093183321400607,0.00113833847009086,0.00106991262365608,0.00095370898032514,0.00095039931053731
"52","EBI20_TS_13_S46_metabat2.91",0.00082448231552674,0.00079659900643725,0.00171570193211573,0.00101208848124777,0.0007706115362749,0.00039867767164308,0.0014459837763068,0.00090522141752944,0.00090400259086442,0.00111001522108156,0.00123389302302541,0.00146441602827164,0.00049099093673999,0.00133218311675848,0.00099969808445916,0.00071226879804965,0.00066139778435961,0.00094944283977095,0.00073248237232965,0.00058324953233721,0
"53","EBI20_TS_13_S46_metabat2.99",0.00136739600723094,0.00125713801634057,0.00133320985210443,0.00115377016515522,0.00135709801521252,0.00117174227053324,0.00134507241734349,0.00106628986645766,0.00097735756267699,0.00160501760627497,0.00106668830951169,0.00139621580144184,0.00100917322169638,0.00139185769329173,0.00137640165327602,0.0011765807460143,0.00105042469571135,0.00124315391922993,0.00120278279935832,0.00111138174208076,0.00118379755869731
"54","EBI20_TS_16_S49_maxbin.006",0.00221046708475388,0.00195523888472158,0.00206639120401958,0.00202300201257096,0.00250066567321768,0.00182952988102711,0.0020157003701401,0.00159981161316127,0.00146597932223508,0.0025213160037038,0.00151386165296662,0.00208349865543682,0.00150292855726443,0.00201741599135388,0.00198085953620838,0.00171520507441176,0.00154210143452862,0.00180489448057956,0.00177114655541698,0.00163547264870068,0.00177701908383623
"55","EBI20_TS_16_S49_maxbin.014",0.00175398506834059,0.00158738797965139,0.00154359012295766,0.00148779132284737,0.00193136401316494,0.00158024868746609,0.00159186809754774,0.00129122768918328,0.00112658653444434,0.00213872634089333,0.00120549542371867,0.00163911966444567,0.00130076458371152,0.00165679704225832,0.00169777742469744,0.00147868057840031,0.00128756005447629,0.0014875492072665,0.00148520968857757,0.00141430361538901,0.00161464331946848
"56","EBI20_TS_16_S49_maxbin.057",0.0018052390080841,0.00162770310201437,0.00175837813251237,0.00160395659970525,0.00194488907050637,0.00149500658616664,0.00172837611501391,0.00136506248888593,0.00125233296645182,0.00214124437568608,0.00133310547608694,0.00178725379505813,0.00128060323944857,0.00176717363539845,0.00172730436993848,0.0014759940948241,0.0013277665654093,0.00155920412630769,0.00151606607591551,0.00140776708507138,0.00149412654078335
"57","EBI20_TS_16_S49_maxbin.321",0.00133113552048285,0.00122836131365727,0.00153792764213174,0.00126167068395181,0.00140044965644009,0.00099058374013429,0.00147141726417865,0.0010839947972526,0.00102386458744785,0.00157073449462159,0.00116663272095143,0.00151172379483709,0.00089939540380868,0.00144290945163471,0.0013266619410222,0.00108808456971662,0.00097955729836534,0.0012159921247855,0.00112174528321026,0.00100449437668287,0.00097461880647147
"58","EBI20_TS_16_S49_metabat2.104",0.00197866882492922,0.00178416145031163,0.00170917103039319,0.00164623689964655,0.00212636520180288,0.00180062328163167,0.00178639429889583,0.00144321290436057,0.00127781848724109,0.00238704718584867,0.0013511366119231,0.0018336937905058,0.00147526256120728,0.00186700585207424,0.00191316637350326,0.00166870666372837,0.00146703267481628,0.00168452929969352,0.00168472438005023,0.00160620846913464,0.00182901717710975
"59","EBI20_TS_16_S49_metabat2.109",0.00165380794770408,0.00150359794341732,0.00169024446799469,0.00150255902016841,0.00168954217709988,0.00131691902374252,0.00166387176772836,0.00134617584882033,0.00119724398174357,0.00198817756416668,0.00131286692986872,0.00172719613900137,0.00121930666878218,0.00172093790038752,0.00166151172995706,0.0014132172137946,0.00124811482958089,0.00149961665922801,0.00141650844789658,0.00132204050055381,0.00139377629986081
