"EOI15_S_2019.08.21" "EOI15_S_2019.09.13" "EOI15_S_2019.10.23" "EOI15_S_2019.11.08" "EOI15_S_2019.11.28" "EOI15_S_2020.01.20" "EOI15_S_2020.02.07" "EOI15_S_2020.03.26" "EOI15_S_2020.04.23" "EOI15_S_2020.05.15" "EOI15_S_2020.06.09" "EOI15_S_2020.07.02" "EOI15_S_2020.07.15" "EOI15_S_2020.07.28" "EOI15_S_2020.08.14" "EOI15_S_2020.09.01" "EOI15_S_2020.09.23" "EOI15_S_2020.10.09" "EOI15_S_2020.10.22" "EOI15_S_2020.11.05" "EOI15_S_2020.12.02"
"K00040" 0.0437111642772722 0.0458206892990955 0.0395303037844097 0.044407743774171 0.0539500978376999 0.0463320050985491 0.0355877931030231 0.0384484137690151 0.0382561999564116 0.0393910488918105 0.0347768803214926 0.0363688477284368 0.0404869778327342 0.0388095435793979 0.0347485708581782 0.038459496175279 0.038836407838738 0.0378819668335574 0.0394119113449067 0.0395981426728357 0.0408150314549758
"K00041" 0.0201864647570743 0.0172864989215474 0.0178287841715589 0.0199535186653245 0.020224997201167 0.0178755002243997 0.0185399320651761 0.0178528589408718 0.0194395075572169 0.0174340555686438 0.0179021700868362 0.0176126706212127 0.018548381089921 0.017427047038142 0.0177010901533075 0.0175061193077727 0.0177982427462183 0.0188715148340712 0.0165348276310451 0.0171111627633421 0.01512277521542
"K00042" 0.337734069772977 0.338221092807274 0.303544266167277 0.352089698121588 0.351132037562488 0.320320018338491 0.317282595470387 0.342645585494984 0.347250982780758 0.334528568460734 0.320404866387396 0.313815371565567 0.324352259482381 0.321131480337865 0.312200713265179 0.325295939224161 0.320496860835413 0.320725158419998 0.324088594681721 0.330338098946519 0.310768025113711
"K00043" 0.0794689346311784 0.0786801024556092 0.0777429122667162 0.0868782185154525 0.0912038378493725 0.0727744193183055 0.0767125617341133 0.0747727711484187 0.071731222623847 0.0769273557154827 0.0700585885590796 0.074191893557879 0.0712360814282378 0.072210040012695 0.0684131290227445 0.070854778383597 0.0727037522578333 0.0699155137820524 0.071576478682445 0.0701721415746853 0.0682066794150647
"K00044" 0.0226216495637398 0.0256372132562651 0.018578032533147 0.0212966588369975 0.0201107249978443 0.0276709455506557 0.0217682258145044 0.0280231789666901 0.0248012879212505 0.0266567866151215 0.0206075625860149 0.0223972348849691 0.0248089333934678 0.0225941521040981 0.0225518434394337 0.0234643017027462 0.0241700487621773 0.0223951422994668 0.0238663711850845 0.0252114442088188 0.0251022716045455
"K00045" 0.0662967521247279 0.0718478350169797 0.0669851856990733 0.0686634947487375 0.0720516461597654 0.0667884910955131 0.0634566123256664 0.0684234405151498 0.0677777556515719 0.0596958096303975 0.0640396514149686 0.0635185377278147 0.0619413967953011 0.0642106436358308 0.0604473136512324 0.0635836539748559 0.0609249177320278 0.0644843480575385 0.0604360048156664 0.061546207066983 0.0611063043589424
"K00046" 0.638803777008301 0.644596627521246 0.576387359602919 0.598685762986086 0.595272350778801 0.647104803906438 0.608048377914551 0.612078850116394 0.619788697744428 0.598605637329299 0.627880969054635 0.598518748273219 0.634015431155669 0.613318285915329 0.610827941873591 0.621852790028575 0.626290250931465 0.62795754504256 0.618871007802233 0.621407291575061 0.625187436711088
"K00048" 0.0149454751868969 0.0124715944870649 0.0150097488100431 0.0102072820302275 0.0115835571704399 0.0148134823297674 0.0130879539884305 0.0143620143952403 0.0140281233809358 0.0127307382848107 0.0135489136593836 0.0135815556290014 0.0132011259308453 0.0146737678521538 0.0133525596850296 0.0127886010468903 0.0146543376812925 0.012755719025614 0.0139878682816519 0.0137396882997556 0.0142905694019611
"K00050" 0.0178658325784782 0.0182856734150177 0.0138026714411384 0.0181159410565326 0.0210288386292282 0.0155035830325272 0.01389970674258 0.0191188435522869 0.0190716605027924 0.0160397147733869 0.0135084528233534 0.0156637734870549 0.015952463978023 0.0136466916016737 0.0152596106810971 0.0157717190837495 0.0144776550824107 0.0144293962263928 0.014086947586646 0.0142993886358824 0.0147732026307965
"K00052" 0.970916180727004 0.966529869816242 0.94153087287584 0.958481922883667 0.936243274243706 0.983395799676154 0.97084798979037 0.980806358376679 0.978240924967348 0.983977175475444 0.969953594424528 0.956945292638551 0.989167657007649 0.968160306132773 0.982036249685828 0.975990569805945 0.977427545630477 0.972203206817298 0.974341398708822 1.00378654619082 1.00964084011705
