KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K13211;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13211;GC-rich sequence DNA-binding factor;GCFC;
K13212;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13212;RNA-binding protein Luc7-like 2;LUC7L2;
K13217;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13217;pre-mRNA-processing factor 39;PRPF39, PRP39;
K13218;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03019;Messenger RNA biogenesis;K13218;polypyrimidine tract-binding protein 1;PTBP1, PTB;
K13218;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03041;Spliceosome;K13218;polypyrimidine tract-binding protein 1;PTBP1, PTB;
K13222;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00402;Benzoxazinoid biosynthesis;K13222;indole-3-glycerol-phosphate lyase;BX1, IGL;EC:4.1.2.8
K13240;09100;Metabolism;09105;Amino acid metabolism;00220;Arginine biosynthesis;K13240;nitric-oxide synthase, brain;NOS1;EC:1.14.13.39
K13240;09100;Metabolism;09105;Amino acid metabolism;00330;Arginine and proline metabolism;K13240;nitric-oxide synthase, brain;NOS1;EC:1.14.13.39
K13240;09130;Environmental Information Processing;09132;Signal transduction;04371;Apelin signaling pathway;K13240;nitric-oxide synthase, brain;NOS1;EC:1.14.13.39
K13240;09130;Environmental Information Processing;09132;Signal transduction;04020;Calcium signaling pathway;K13240;nitric-oxide synthase, brain;NOS1;EC:1.14.13.39
K13240;09140;Cellular Processes;09141;Transport and catabolism;04145;Phagosome;K13240;nitric-oxide synthase, brain;NOS1;EC:1.14.13.39
K13249;09120;Genetic Information Processing;09123;Folding, sorting and degradation;04141;Protein processing in endoplasmic reticulum;K13249;translocon-associated protein subunit alpha;SSR1;
K13250;09120;Genetic Information Processing;09123;Folding, sorting and degradation;04141;Protein processing in endoplasmic reticulum;K13250;translocon-associated protein subunit beta;SSR2;
K13304;09130;Environmental Information Processing;09132;Signal transduction;04068;FoxO signaling pathway;K13304;serum/glucocorticoid-regulated kinase 3;SGK3;EC:2.7.11.1
K13304;09130;Environmental Information Processing;09132;Signal transduction;04151;PI3K-Akt signaling pathway;K13304;serum/glucocorticoid-regulated kinase 3;SGK3;EC:2.7.11.1
K13304;09180;Brite Hierarchies;09181;Protein families: metabolism;01001;Protein kinases;K13304;serum/glucocorticoid-regulated kinase 3;SGK3;EC:2.7.11.1
K13336;09140;Cellular Processes;09141;Transport and catabolism;04146;Peroxisome;K13336;peroxin-3;PEX3;
K13336;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K13336;peroxin-3;PEX3;
K13344;09140;Cellular Processes;09141;Transport and catabolism;04146;Peroxisome;K13344;peroxin-13;PEX13;
K13345;09140;Cellular Processes;09141;Transport and catabolism;04146;Peroxisome;K13345;peroxin-12;PEX12, PAF3;
K13345;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04121;Ubiquitin system;K13345;peroxin-12;PEX12, PAF3;
K13349;09140;Cellular Processes;09141;Transport and catabolism;04146;Peroxisome;K13349;Mpv17-like protein;MPV17L;
K13352;09140;Cellular Processes;09141;Transport and catabolism;04146;Peroxisome;K13352;peroxin-11B;PEX11B;
K13352;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;02000;Transporters;K13352;peroxin-11B;PEX11B;
K13442;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K13442;calpain-14;CAPN14;EC:3.4.22.-
K13504;09120;Genetic Information Processing;09123;Folding, sorting and degradation;04130;SNARE interactions in vesicular transport;K13504;vesicle-associated membrane protein 2;VAMP2;
K13504;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K13504;vesicle-associated membrane protein 2;VAMP2;
K13505;09120;Genetic Information Processing;09123;Folding, sorting and degradation;04130;SNARE interactions in vesicular transport;K13505;vesicle-associated membrane protein 3;VAMP3;
K13505;09140;Cellular Processes;09141;Transport and catabolism;04145;Phagosome;K13505;vesicle-associated membrane protein 3;VAMP3;
K13505;09180;Brite Hierarchies;09182;Protein families: genetic information processing;04131;Membrane trafficking;K13505;vesicle-associated membrane protein 3;VAMP3;
K13516;09100;Metabolism;09103;Lipid metabolism;00564;Glycerophospholipid metabolism;K13516;lysophospholipid acyltransferase 7;MBOAT7;EC:2.3.1.-
K13516;09180;Brite Hierarchies;09181;Protein families: metabolism;01004;Lipid biosynthesis proteins;K13516;lysophospholipid acyltransferase 7;MBOAT7;EC:2.3.1.-
K13528;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03021;Transcription machinery;K13528;mediator of RNA polymerase II transcription subunit 20;MED20;
K13537;09180;Brite Hierarchies;09181;Protein families: metabolism;01002;Peptidases and inhibitors;K13537;cysteine peptidase B;CPB;EC:3.4.22.-
K13567;09130;Environmental Information Processing;09132;Signal transduction;04350;TGF-beta signaling pathway;K13567;activin receptor type-1B;ACVR1B, ALK4;EC:2.7.11.30
K13567;09130;Environmental Information Processing;09133;Signaling molecules and interaction;04060;Cytokine-cytokine receptor interaction;K13567;activin receptor type-1B;ACVR1B, ALK4;EC:2.7.11.30
K13567;09140;Cellular Processes;09144;Cellular community - eukaryotes;04550;Signaling pathways regulating pluripotency of stem cells;K13567;activin receptor type-1B;ACVR1B, ALK4;EC:2.7.11.30
K13567;09180;Brite Hierarchies;09181;Protein families: metabolism;01001;Protein kinases;K13567;activin receptor type-1B;ACVR1B, ALK4;EC:2.7.11.30
K13578;09130;Environmental Information Processing;09132;Signal transduction;04013;MAPK signaling pathway - fly;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13578;09130;Environmental Information Processing;09132;Signal transduction;04350;TGF-beta signaling pathway;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13578;09130;Environmental Information Processing;09132;Signal transduction;04390;Hippo signaling pathway;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13578;09130;Environmental Information Processing;09133;Signaling molecules and interaction;04060;Cytokine-cytokine receptor interaction;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13578;09140;Cellular Processes;09144;Cellular community - eukaryotes;04550;Signaling pathways regulating pluripotency of stem cells;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13578;09180;Brite Hierarchies;09181;Protein families: metabolism;01001;Protein kinases;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13578;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04090;CD molecules;K13578;bone morphogenetic protein receptor type-1B;BMPR1B, ALK6, CDw293;EC:2.7.11.30
K13586;09140;Cellular Processes;09143;Cell growth and death;04112;Cell cycle - Caulobacter;K13586;holdfast attachment protein HfaB;hfaB;
K13596;09130;Environmental Information Processing;09132;Signal transduction;04350;TGF-beta signaling pathway;K13596;activin receptor type-2B;ACVR2B;EC:2.7.11.30
K13596;09130;Environmental Information Processing;09133;Signaling molecules and interaction;04060;Cytokine-cytokine receptor interaction;K13596;activin receptor type-2B;ACVR2B;EC:2.7.11.30
K13596;09140;Cellular Processes;09144;Cellular community - eukaryotes;04550;Signaling pathways regulating pluripotency of stem cells;K13596;activin receptor type-2B;ACVR2B;EC:2.7.11.30
K13596;09180;Brite Hierarchies;09181;Protein families: metabolism;01001;Protein kinases;K13596;activin receptor type-2B;ACVR2B;EC:2.7.11.30
K13619;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99980;Enzymes with EC numbers;K13619;phospholipase DDHD1;DDHD1;EC:3.1.1.118
K13620;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99986;Glycan metabolism;K13620;putative colanic acid polymerase;wcaD;
K13632;09180;Brite Hierarchies;09182;Protein families: genetic information processing;03000;Transcription factors;K13632;AraC family transcriptional regulator, mar-sox-rob regulon activator;marA;
K13632;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;01504;Antimicrobial resistance genes;K13632;AraC family transcriptional regulator, mar-sox-rob regulon activator;marA;
