KO;catA_KO;catA_name;catB_KO;catB_name;catC_KO;catC_name;catD_KO;catD_name;catD_shortname;catD_EC
K00001;09100;Metabolism;09101;Carbohydrate metabolism;00010;Glycolysis / Gluconeogenesis;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09103;Lipid metabolism;00071;Fatty acid degradation;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09105;Amino acid metabolism;00350;Tyrosine metabolism;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00830;Retinol metabolism;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00625;Chloroalkane and chloroalkene degradation;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00626;Naphthalene degradation;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00980;Metabolism of xenobiotics by cytochrome P450;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00001;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00982;Drug metabolism - cytochrome P450;K00001;alcohol dehydrogenase;E1.1.1.1, adh;EC:1.1.1.1
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00010;Glycolysis / Gluconeogenesis;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00930;Caprolactam degradation;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00002;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00002;alcohol dehydrogenase (NADP+);AKR1A1, adh;EC:1.1.1.2
K00003;09100;Metabolism;09105;Amino acid metabolism;00260;Glycine, serine and threonine metabolism;K00003;homoserine dehydrogenase;hom;EC:1.1.1.3
K00003;09100;Metabolism;09105;Amino acid metabolism;00270;Cysteine and methionine metabolism;K00003;homoserine dehydrogenase;hom;EC:1.1.1.3
K00003;09100;Metabolism;09105;Amino acid metabolism;00300;Lysine biosynthesis;K00003;homoserine dehydrogenase;hom;EC:1.1.1.3
K00004;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00004;(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase;BDH, butB;EC:1.1.1.4 1.1.1.- 1.1.1.303
K00005;09100;Metabolism;09101;Carbohydrate metabolism;00640;Propanoate metabolism;K00005;glycerol dehydrogenase;gldA;EC:1.1.1.6
K00005;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00005;glycerol dehydrogenase;gldA;EC:1.1.1.6
K00007;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00007;D-arabinitol 4-dehydrogenase;dalD;EC:1.1.1.11
K00007;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00007;D-arabinitol 4-dehydrogenase;dalD;EC:1.1.1.11
K00008;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00008;L-iditol 2-dehydrogenase;SORD, gutB;EC:1.1.1.14
K00008;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00008;L-iditol 2-dehydrogenase;SORD, gutB;EC:1.1.1.14
K00009;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00009;mannitol-1-phosphate 5-dehydrogenase;mtlD;EC:1.1.1.17
K00010;09100;Metabolism;09101;Carbohydrate metabolism;00562;Inositol phosphate metabolism;K00010;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase;iolG;EC:1.1.1.18 1.1.1.369
K00010;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00521;Streptomycin biosynthesis;K00010;myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase;iolG;EC:1.1.1.18 1.1.1.369
K00011;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09101;Carbohydrate metabolism;00052;Galactose metabolism;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00011;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00790;Folate biosynthesis;K00011;aldehyde reductase;AKR1B;EC:1.1.1.21
K00012;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00012;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00012;09100;Metabolism;09101;Carbohydrate metabolism;00520;Amino sugar and nucleotide sugar metabolism;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00012;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00541;O-Antigen nucleotide sugar biosynthesis;K00012;UDPglucose 6-dehydrogenase;UGDH, ugd;EC:1.1.1.22
K00013;09100;Metabolism;09105;Amino acid metabolism;00340;Histidine metabolism;K00013;histidinol dehydrogenase;hisD;EC:1.1.1.23
K00014;09100;Metabolism;09105;Amino acid metabolism;00400;Phenylalanine, tyrosine and tryptophan biosynthesis;K00014;shikimate dehydrogenase;aroE;EC:1.1.1.25
K00014;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00999;Biosynthesis of various plant secondary metabolites;K00014;shikimate dehydrogenase;aroE;EC:1.1.1.25
K00015;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00015;glyoxylate reductase;gyaR, GOR1;EC:1.1.1.26
K00016;09100;Metabolism;09101;Carbohydrate metabolism;00010;Glycolysis / Gluconeogenesis;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
K00016;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
K00016;09100;Metabolism;09101;Carbohydrate metabolism;00640;Propanoate metabolism;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
K00016;09100;Metabolism;09105;Amino acid metabolism;00270;Cysteine and methionine metabolism;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
K00016;09130;Environmental Information Processing;09132;Signal transduction;04066;HIF-1 signaling pathway;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
K00016;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00016;L-lactate dehydrogenase;LDH, ldh;EC:1.1.1.27
K00018;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00018;glycerate dehydrogenase;hprA;EC:1.1.1.29
K00018;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K00018;glycerate dehydrogenase;hprA;EC:1.1.1.29
K00018;09100;Metabolism;09105;Amino acid metabolism;00260;Glycine, serine and threonine metabolism;K00018;glycerate dehydrogenase;hprA;EC:1.1.1.29
K00019;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00019;3-hydroxybutyrate dehydrogenase;BDH, bdhA;EC:1.1.1.30
K00020;09100;Metabolism;09105;Amino acid metabolism;00280;Valine, leucine and isoleucine degradation;K00020;3-hydroxyisobutyrate dehydrogenase;HIBADH, mmsB;EC:1.1.1.31
K00021;09100;Metabolism;09109;Metabolism of terpenoids and polyketides;00900;Terpenoid backbone biosynthesis;K00021;hydroxymethylglutaryl-CoA reductase (NADPH);HMGCR;EC:1.1.1.34
K00021;09130;Environmental Information Processing;09132;Signal transduction;04152;AMPK signaling pathway;K00021;hydroxymethylglutaryl-CoA reductase (NADPH);HMGCR;EC:1.1.1.34
K00022;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09103;Lipid metabolism;00062;Fatty acid elongation;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09103;Lipid metabolism;00071;Fatty acid degradation;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09105;Amino acid metabolism;00280;Valine, leucine and isoleucine degradation;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09105;Amino acid metabolism;00310;Lysine degradation;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09105;Amino acid metabolism;00380;Tryptophan metabolism;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09109;Metabolism of terpenoids and polyketides;00281;Geraniol degradation;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00022;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00930;Caprolactam degradation;K00022;3-hydroxyacyl-CoA dehydrogenase;HADH;EC:1.1.1.35
K00023;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00023;acetoacetyl-CoA reductase;phbB;EC:1.1.1.36
K00023;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00023;acetoacetyl-CoA reductase;phbB;EC:1.1.1.36
K00024;09100;Metabolism;09101;Carbohydrate metabolism;00020;Citrate cycle (TCA cycle);K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00024;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00024;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00024;09100;Metabolism;09102;Energy metabolism;00710;Carbon fixation in photosynthetic organisms;K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00024;09100;Metabolism;09102;Energy metabolism;00720;Carbon fixation pathways in prokaryotes;K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00024;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00024;09100;Metabolism;09105;Amino acid metabolism;00270;Cysteine and methionine metabolism;K00024;malate dehydrogenase;mdh;EC:1.1.1.37
K00026;09100;Metabolism;09101;Carbohydrate metabolism;00020;Citrate cycle (TCA cycle);K00026;malate dehydrogenase;MDH2;EC:1.1.1.37
K00026;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00026;malate dehydrogenase;MDH2;EC:1.1.1.37
K00026;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00026;malate dehydrogenase;MDH2;EC:1.1.1.37
K00026;09100;Metabolism;09102;Energy metabolism;00710;Carbon fixation in photosynthetic organisms;K00026;malate dehydrogenase;MDH2;EC:1.1.1.37
K00026;09100;Metabolism;09105;Amino acid metabolism;00270;Cysteine and methionine metabolism;K00026;malate dehydrogenase;MDH2;EC:1.1.1.37
K00027;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00027;malate dehydrogenase (oxaloacetate-decarboxylating);ME2, sfcA, maeA;EC:1.1.1.38
K00027;09130;Environmental Information Processing;09132;Signal transduction;02020;Two-component system;K00027;malate dehydrogenase (oxaloacetate-decarboxylating);ME2, sfcA, maeA;EC:1.1.1.38
K00029;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00029;malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+);E1.1.1.40, maeB;EC:1.1.1.40
K00029;09100;Metabolism;09102;Energy metabolism;00710;Carbon fixation in photosynthetic organisms;K00029;malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+);E1.1.1.40, maeB;EC:1.1.1.40
K00030;09100;Metabolism;09101;Carbohydrate metabolism;00020;Citrate cycle (TCA cycle);K00030;isocitrate dehydrogenase (NAD+);IDH3;EC:1.1.1.41
K00031;09100;Metabolism;09101;Carbohydrate metabolism;00020;Citrate cycle (TCA cycle);K00031;isocitrate dehydrogenase;IDH1, IDH2, icd;EC:1.1.1.42
K00031;09100;Metabolism;09102;Energy metabolism;00720;Carbon fixation pathways in prokaryotes;K00031;isocitrate dehydrogenase;IDH1, IDH2, icd;EC:1.1.1.42
K00031;09100;Metabolism;09106;Metabolism of other amino acids;00480;Glutathione metabolism;K00031;isocitrate dehydrogenase;IDH1, IDH2, icd;EC:1.1.1.42
K00031;09140;Cellular Processes;09141;Transport and catabolism;04146;Peroxisome;K00031;isocitrate dehydrogenase;IDH1, IDH2, icd;EC:1.1.1.42
K00033;09100;Metabolism;09101;Carbohydrate metabolism;00030;Pentose phosphate pathway;K00033;6-phosphogluconate dehydrogenase;PGD, gnd, gntZ;EC:1.1.1.44 1.1.1.343
K00033;09100;Metabolism;09106;Metabolism of other amino acids;00480;Glutathione metabolism;K00033;6-phosphogluconate dehydrogenase;PGD, gnd, gntZ;EC:1.1.1.44 1.1.1.343
K00034;09100;Metabolism;09101;Carbohydrate metabolism;00030;Pentose phosphate pathway;K00034;glucose 1-dehydrogenase;gdh;EC:1.1.1.47
K00035;09100;Metabolism;09101;Carbohydrate metabolism;00052;Galactose metabolism;K00035;D-galactose 1-dehydrogenase;gal;EC:1.1.1.48
K00036;09100;Metabolism;09101;Carbohydrate metabolism;00030;Pentose phosphate pathway;K00036;glucose-6-phosphate 1-dehydrogenase;G6PD, zwf;EC:1.1.1.49 1.1.1.363
K00036;09100;Metabolism;09106;Metabolism of other amino acids;00480;Glutathione metabolism;K00036;glucose-6-phosphate 1-dehydrogenase;G6PD, zwf;EC:1.1.1.49 1.1.1.363
K00036;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00036;glucose-6-phosphate 1-dehydrogenase;G6PD, zwf;EC:1.1.1.49 1.1.1.363
K00038;09100;Metabolism;09103;Lipid metabolism;00140;Steroid hormone biosynthesis;K00038;3alpha(or 20beta)-hydroxysteroid dehydrogenase;E1.1.1.53;EC:1.1.1.53
K00039;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00039;ribitol 2-dehydrogenase;rbtD;EC:1.1.1.56
K00040;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00040;fructuronate reductase;uxuB;EC:1.1.1.57
K00041;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00041;tagaturonate reductase;uxaB;EC:1.1.1.58
K00042;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00042;2-hydroxy-3-oxopropionate reductase;garR, glxR;EC:1.1.1.60
K00043;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00043;4-hydroxybutyrate dehydrogenase;gbd;EC:1.1.1.61
K00044;09100;Metabolism;09103;Lipid metabolism;00140;Steroid hormone biosynthesis;K00044;17beta-estradiol 17-dehydrogenase;HSD17B1;EC:1.1.1.62
K00045;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00045;mannitol 2-dehydrogenase;E1.1.1.67, mtlK;EC:1.1.1.67
K00046;09190;Not Included in Pathway or Brite;09191;Unclassified: metabolism;99980;Enzymes with EC numbers;K00046;gluconate 5-dehydrogenase;idnO;EC:1.1.1.69
K00048;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00048;lactaldehyde reductase;fucO;EC:1.1.1.77
K00048;09100;Metabolism;09101;Carbohydrate metabolism;00640;Propanoate metabolism;K00048;lactaldehyde reductase;fucO;EC:1.1.1.77
K00049;09100;Metabolism;09101;Carbohydrate metabolism;00620;Pyruvate metabolism;K00049;glyoxylate/hydroxypyruvate reductase;GRHPR;EC:1.1.1.79 1.1.1.81
K00049;09100;Metabolism;09101;Carbohydrate metabolism;00630;Glyoxylate and dicarboxylate metabolism;K00049;glyoxylate/hydroxypyruvate reductase;GRHPR;EC:1.1.1.79 1.1.1.81
K00049;09100;Metabolism;09105;Amino acid metabolism;00260;Glycine, serine and threonine metabolism;K00049;glyoxylate/hydroxypyruvate reductase;GRHPR;EC:1.1.1.79 1.1.1.81
K00052;09100;Metabolism;09101;Carbohydrate metabolism;00660;C5-Branched dibasic acid metabolism;K00052;3-isopropylmalate dehydrogenase;leuB, IMDH;EC:1.1.1.85
K00052;09100;Metabolism;09105;Amino acid metabolism;00290;Valine, leucine and isoleucine biosynthesis;K00052;3-isopropylmalate dehydrogenase;leuB, IMDH;EC:1.1.1.85
K00053;09100;Metabolism;09105;Amino acid metabolism;00290;Valine, leucine and isoleucine biosynthesis;K00053;ketol-acid reductoisomerase;ilvC;EC:1.1.1.86
K00053;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00770;Pantothenate and CoA biosynthesis;K00053;ketol-acid reductoisomerase;ilvC;EC:1.1.1.86
K00054;09100;Metabolism;09109;Metabolism of terpenoids and polyketides;00900;Terpenoid backbone biosynthesis;K00054;hydroxymethylglutaryl-CoA reductase;mvaA;EC:1.1.1.88
K00055;09100;Metabolism;09105;Amino acid metabolism;00350;Tyrosine metabolism;K00055;aryl-alcohol dehydrogenase;E1.1.1.90;EC:1.1.1.90
K00055;09100;Metabolism;09105;Amino acid metabolism;00360;Phenylalanine metabolism;K00055;aryl-alcohol dehydrogenase;E1.1.1.90;EC:1.1.1.90
K00055;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00623;Toluene degradation;K00055;aryl-alcohol dehydrogenase;E1.1.1.90;EC:1.1.1.90
K00055;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00622;Xylene degradation;K00055;aryl-alcohol dehydrogenase;E1.1.1.90;EC:1.1.1.90
K00057;09100;Metabolism;09103;Lipid metabolism;00564;Glycerophospholipid metabolism;K00057;glycerol-3-phosphate dehydrogenase (NAD(P)+);gpsA;EC:1.1.1.94
K00058;09100;Metabolism;09102;Energy metabolism;00680;Methane metabolism;K00058;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase;serA, PHGDH;EC:1.1.1.95 1.1.1.399
K00058;09100;Metabolism;09105;Amino acid metabolism;00260;Glycine, serine and threonine metabolism;K00058;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase;serA, PHGDH;EC:1.1.1.95 1.1.1.399
K00058;09100;Metabolism;09105;Amino acid metabolism;00270;Cysteine and methionine metabolism;K00058;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase;serA, PHGDH;EC:1.1.1.95 1.1.1.399
K00058;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00058;D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase;serA, PHGDH;EC:1.1.1.95 1.1.1.399
K00059;09100;Metabolism;09103;Lipid metabolism;00061;Fatty acid biosynthesis;K00059;3-oxoacyl;fabG, OAR1;acyl-carrier protein] reductase [EC:1.1.1.100
K00059;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00780;Biotin metabolism;K00059;3-oxoacyl;fabG, OAR1;acyl-carrier protein] reductase [EC:1.1.1.100
K00059;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00333;Prodigiosin biosynthesis;K00059;3-oxoacyl;fabG, OAR1;acyl-carrier protein] reductase [EC:1.1.1.100
K00059;09180;Brite Hierarchies;09181;Protein families: metabolism;01004;Lipid biosynthesis proteins;K00059;3-oxoacyl;fabG, OAR1;acyl-carrier protein] reductase [EC:1.1.1.100
K00060;09100;Metabolism;09105;Amino acid metabolism;00260;Glycine, serine and threonine metabolism;K00060;threonine 3-dehydrogenase;tdh;EC:1.1.1.103
K00061;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00830;Retinol metabolism;K00061;11-cis-retinol dehydrogenase;RDH5;EC:1.1.1.315
K00062;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K00062;D-arabinose 1-dehydrogenase;ARA2;EC:1.1.1.116
K00064;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00064;D-threo-aldose 1-dehydrogenase;E1.1.1.122;EC:1.1.1.122
K00064;09100;Metabolism;09101;Carbohydrate metabolism;00053;Ascorbate and aldarate metabolism;K00064;D-threo-aldose 1-dehydrogenase;E1.1.1.122;EC:1.1.1.122
K00065;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00065;2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase;kduD;EC:1.1.1.127
K00066;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00066;GDP-mannose 6-dehydrogenase;algD;EC:1.1.1.132
K00066;09100;Metabolism;09101;Carbohydrate metabolism;00520;Amino sugar and nucleotide sugar metabolism;K00066;GDP-mannose 6-dehydrogenase;algD;EC:1.1.1.132
K00066;09130;Environmental Information Processing;09132;Signal transduction;02020;Two-component system;K00066;GDP-mannose 6-dehydrogenase;algD;EC:1.1.1.132
K00067;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00541;O-Antigen nucleotide sugar biosynthesis;K00067;dTDP-4-dehydrorhamnose reductase;rfbD, rmlD;EC:1.1.1.133
K00067;09100;Metabolism;09109;Metabolism of terpenoids and polyketides;00523;Polyketide sugar unit biosynthesis;K00067;dTDP-4-dehydrorhamnose reductase;rfbD, rmlD;EC:1.1.1.133
K00067;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00521;Streptomycin biosynthesis;K00067;dTDP-4-dehydrorhamnose reductase;rfbD, rmlD;EC:1.1.1.133
K00068;09100;Metabolism;09101;Carbohydrate metabolism;00051;Fructose and mannose metabolism;K00068;sorbitol-6-phosphate 2-dehydrogenase;srlD;EC:1.1.1.140
K00069;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00069;15-hydroxyprostaglandin dehydrogenase (NAD);HPGD;EC:1.1.1.141
K00070;09100;Metabolism;09103;Lipid metabolism;00140;Steroid hormone biosynthesis;K00070;3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase;HSD3B;EC:1.1.1.145 5.3.3.1
K00073;09100;Metabolism;09104;Nucleotide metabolism;00230;Purine metabolism;K00073;ureidoglycolate dehydrogenase (NAD+);allD;EC:1.1.1.350
K00074;09100;Metabolism;09101;Carbohydrate metabolism;00650;Butanoate metabolism;K00074;3-hydroxybutyryl-CoA dehydrogenase;paaH, hbd, fadB, mmgB;EC:1.1.1.157
K00074;09100;Metabolism;09105;Amino acid metabolism;00360;Phenylalanine metabolism;K00074;3-hydroxybutyryl-CoA dehydrogenase;paaH, hbd, fadB, mmgB;EC:1.1.1.157
K00074;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00362;Benzoate degradation;K00074;3-hydroxybutyryl-CoA dehydrogenase;paaH, hbd, fadB, mmgB;EC:1.1.1.157
K00075;09100;Metabolism;09101;Carbohydrate metabolism;00520;Amino sugar and nucleotide sugar metabolism;K00075;UDP-N-acetylmuramate dehydrogenase;murB;EC:1.3.1.98
K00075;09100;Metabolism;09107;Glycan biosynthesis and metabolism;00550;Peptidoglycan biosynthesis;K00075;UDP-N-acetylmuramate dehydrogenase;murB;EC:1.3.1.98
K00075;09180;Brite Hierarchies;09181;Protein families: metabolism;01011;Peptidoglycan biosynthesis and degradation proteins;K00075;UDP-N-acetylmuramate dehydrogenase;murB;EC:1.3.1.98
K00076;09100;Metabolism;09103;Lipid metabolism;00121;Secondary bile acid biosynthesis;K00076;7-alpha-hydroxysteroid dehydrogenase;hdhA;EC:1.1.1.159
K00077;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00770;Pantothenate and CoA biosynthesis;K00077;2-dehydropantoate 2-reductase;panE, apbA;EC:1.1.1.169
K00078;09100;Metabolism;09101;Carbohydrate metabolism;00040;Pentose and glucuronate interconversions;K00078;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);DHDH;EC:1.3.1.20 1.1.1.179
K00078;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00980;Metabolism of xenobiotics by cytochrome P450;K00078;dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP);DHDH;EC:1.3.1.20 1.1.1.179
K00079;09100;Metabolism;09103;Lipid metabolism;00590;Arachidonic acid metabolism;K00079;carbonyl reductase 1;CBR1;EC:1.1.1.184 1.1.1.189 1.1.1.197
K00079;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00790;Folate biosynthesis;K00079;carbonyl reductase 1;CBR1;EC:1.1.1.184 1.1.1.189 1.1.1.197
K00079;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00980;Metabolism of xenobiotics by cytochrome P450;K00079;carbonyl reductase 1;CBR1;EC:1.1.1.184 1.1.1.189 1.1.1.197
K00082;09100;Metabolism;09108;Metabolism of cofactors and vitamins;00740;Riboflavin metabolism;K00082;5-amino-6-(5-phosphoribosylamino)uracil reductase;ribD2;EC:1.1.1.193
K00083;09100;Metabolism;09110;Biosynthesis of other secondary metabolites;00940;Phenylpropanoid biosynthesis;K00083;cinnamyl-alcohol dehydrogenase;CAD;EC:1.1.1.195
K00086;09100;Metabolism;09101;Carbohydrate metabolism;00640;Propanoate metabolism;K00086;1,3-propanediol dehydrogenase;dhaT;EC:1.1.1.202
K00086;09100;Metabolism;09103;Lipid metabolism;00561;Glycerolipid metabolism;K00086;1,3-propanediol dehydrogenase;dhaT;EC:1.1.1.202
K00087;09100;Metabolism;09104;Nucleotide metabolism;00230;Purine metabolism;K00087;xanthine dehydrogenase molybdenum-binding subunit;ygeS, xdhA;EC:1.17.1.4
K00088;09100;Metabolism;09104;Nucleotide metabolism;00230;Purine metabolism;K00088;IMP dehydrogenase;IMPDH, guaB;EC:1.1.1.205
K00088;09100;Metabolism;09111;Xenobiotics biodegradation and metabolism;00983;Drug metabolism - other enzymes;K00088;IMP dehydrogenase;IMPDH, guaB;EC:1.1.1.205
K00088;09180;Brite Hierarchies;09183;Protein families: signaling and cellular processes;04147;Exosome;K00088;IMP dehydrogenase;IMPDH, guaB;EC:1.1.1.205
